SPKID,SubjectID
CBK90984,49256
CBK90985,32118
CBK90985,32548
CBK90985,42027
CBK90985,42057
CBK90985,42058
CBK90985,42059
CBK90985,42890
CBK90987,32570
CBK90987,32571
CBK90987,42889
CBK90987,42904
CBK90987,49227
CBK90989,49002
CBK90989,49049
CBK90989,49307
CBK90989,49312
CBK90989,49316
CBK90989,49322
CBK90989,49325
CBK90989,49328
CBK90989,49329
CBK90991,42011
CBK90991,49049
CBK90991,49116
CBK90991,49123
CBK90991,49127
CBK90991,49257
CBK90992,32555
CBK90992,32603
CBK90992,49227
CBK90992,49261
CBK90993,42907
CBK90993,49115
CBK90993,49131
CBK90993,49136
CBK90993,49150
CBK90993,49151
CBK90993,49254
CBK90994,49102
CBK90994,49106
CBK90994,49116
CBK90994,49254
CBK90994,49257
CBK90994,49258
CBK90995,49047
CBK90995,49102
CBK90995,49107
CBK90995,49115
CBK90995,49118
CBK90995,49119
CBK90995,49131
CBK90995,49134
CBK90995,49136
CBK90995,49150
CBK90995,49254
CBK90995,49255
CBK90995,49256
CBK90995,49257
CBK90995,49258
CBK91023,12002
CBK91023,12512
CBK91023,15241
CBK91023,15251
CBK91023,15315
CBK91023,15346
CBK91023,15348
CBK91023,15362
CBK91023,17703
CBK91023,17775
CBK91023,25705
CBK91023,25721
CBK91023,25782
CBK91026,32531
CBK91026,49016
CBK91027,32558
CBK91027,32559
CBK91027,32560
CBK91027,32569
CBK91027,32601
CBK91027,32990
CBK91027,42900
CBK91027,49003
CBK91027,49680
CBK91028,32524
CBK91028,32547
CBK91029,32009
CBK91029,32011
CBK91029,32118
CBK91029,32516
CBK91029,32520
CBK91029,32548
CBK91029,42027
CBK91029,42891
CBK91030,32146
CBK91030,32513
CBK91031,32113
CBK91031,32130
CBK91031,32567
CBK91031,42904
CBK91032,95563
CBK91032,95566
CBK91033,32003
CBK91033,32027
CBK91033,32405
CBK91033,32509
CBK91033,42017
CBK91033,95564
CBK91033,95569
CBK91034,32569
CBK91034,32570
CBK91035,32509
CBK91035,32516
CBK91035,32549
CBK91035,32571
CBK91035,32603
CBK91035,32998
CBK91035,42017
CBK91035,42889
CBK91035,42904
CBK91038,32558
CBK91038,32559
CBK91038,32560
CBK91038,32569
CBK91038,32601
CBK91038,32990
CBK91038,42900
CBK91038,49003
CBK91038,49680
CBK91039,32009
CBK91039,32011
CBK91039,32118
CBK91039,32516
CBK91039,32520
CBK91039,32524
CBK91039,32548
CBK91039,42027
CBK91039,42891
CBK91040,32113
CBK91040,32130
CBK91040,32567
CBK91040,42028
CBK91040,42177
CBK91040,42850
CBK91040,42904
CBK91041,32003
CBK91041,32027
CBK91041,32405
CBK91041,32509
CBK91041,42017
CBK91041,95564
CBK91041,95569
CBK91042,32509
CBK91042,32516
CBK91042,32549
CBK91042,32569
CBK91042,32571
CBK91042,32603
CBK91042,32998
CBK91042,42017
CBK91042,42889
CBK91048,32558
CBK91048,32559
CBK91048,32560
CBK91048,32569
CBK91048,32601
CBK91048,32990
CBK91048,42900
CBK91048,49003
CBK91048,49680
