SubjectID,ToSubjectID
12537,15349
12537,15362
12537,17123
15121,15141
15141,15211
15142,15143
15142,17518
15142,17551
15142,17704
15145,15301
15146,17518
15211,15231
15222,15143
15302,15303
15302,15904
15303,15304
15310,15115
15310,15349
15310,15350
15310,15462
15310,15463
15312,15115
15312,15310
15312,15349
15312,15350
15312,15462
15312,15463
15315,15115
15315,15310
15315,15311
15315,15313
15315,15317
15315,15325
15315,15327
15315,15328
15315,15331
15315,15332
15315,15333
15315,15337
15315,15339
15315,15346
15315,15350
15315,15360
15315,15362
15316,15115
15316,15310
15316,15349
15316,15350
15316,15462
15316,15463
15319,15115
15319,15310
15319,15317
15319,15349
15319,15350
15319,15362
15319,15462
15319,15463
15604,15602
15604,15603
15604,15609
15604,15610
15604,15611
15604,15618
15604,15622
15604,15624
15608,15602
15608,15603
15608,15609
15608,15610
15608,15611
15608,15618
15608,15622
15608,15624
15612,15615
15613,15614
15618,15616
15621,15623
15623,15624
15627,15636
15628,15636
15641,15636
15642,15636
16103,16209
16105,16203
16108,16421
16109,16105
16109,16206
16123,16336
16123,16342
16123,16469
16137,16212
16203,16207
16206,16315
16207,16307
16207,16412
16212,16470
16231,16261
16231,16333
16231,16336
16231,16658
16234,16231
16234,16233
16234,16331
16234,16332
16234,16634
16234,16642
16235,16232
16235,16658
16236,16332
16236,16335
16238,16345
16259,16260
16259,16671
16260,16671
16261,16336
16262,16671
16264,16129
16264,16237
16265,16138
16265,16206
16265,16314
16265,16471
16265,16912
16307,16090
16314,16138
16314,16422
16314,16471
16317,16307
16331,16335
16332,16345
16333,16346
16466,16072
16466,16232
16466,16258
16466,16338
16466,16342
16467,16333
16467,16423
16467,16641
16468,16236
16468,16342
16468,16469
16631,16138
16631,16314
16631,16656
16631,16900
16631,16912
16632,16233
16633,16072
16633,16235
16634,16656
16641,16346
16642,16333
16642,16655
16642,16657
16642,16658
16642,16677
16674,16093
16679,16092
16904,16905
16912,16263
16912,16307
16912,16317
16912,16423
16912,16913
16912,16914
16912,41029
16912,48006
16912,48012
16912,48016
16913,16307
16913,16470
17551,15317
17551,17778
17556,17518
17700,15011
17700,15143
17700,171200
17700,17518
17700,17775
17777,17778
17902,17911
17902,17913
17902,17919
17902,17920
17904,17913
17904,17916
17904,17917
17905,17911
17905,17913
17905,17919
17905,17920
17908,17921
17916,17918
17917,17918
17918,17919
17918,17920
18723,18724
20101,20106
20102,20106
20103,20106
20104,20106
20105,20106
21036,21505
210954,220788
21252,21075
21393,21073
21393,21076
21407,21505
21440,21505
21511,21504
21511,21506
21512,21504
21514,21506
21555,21505
21591,21506
21597,21062
21597,21064
21597,21073
21597,21252
21597,21596
21637,21638
21640,21638
21643,21663
21650,21638
21660,21661
21662,21663
