SPKID,SPKID2
CBK91079,SMJ08128
CBK91079,SMJ08129
CBK91079,SMJ08130
CBK91079,SMJ08137
CBK91079,SMJ08138
CBK91079,SMJ08139
CBK91079,SMJ08204
CBK91079,SMJ09030
CBK91079,SMJ09033
CBK91079,SMJ09034
CBK91079,SMJ09035
CBK91079,SMJ09036
CBK91080,SMJ10196
CBK91102,STM91056
CBK91102,STM91057
CBK91102,STM91059
CBK91145,CBK91146
CBK91145,SMJ01047
CBK91148,MAJ03512
CBK91148,MAJ03513
CBK91148,MAJ03514
CBK91148,MAJ03530
CBK91148,MAJ03533
CBK91148,MAJ03534
CBK91148,MAJ03539
CBK91159,CBK91166
CBK91159,STM91135
CBK91159,STM91136
CBK91159,STM91137
CBK91160,CBK91167
CBK91160,STM91138
CBK91161,STM91139
CBK91162,CBK91170
CBK91162,CBK91171
CBK91163,CBK91172
CBK91163,CBK91173
CBK91164,CBK91177
CBK91164,STM91145
CBK91205,CBK90509
CBK91205,SMJ06020
CBK91205,SMJ06023
CBK91205,SMJ06027
CBK91205,SMJ06032
CBK91205,SMJ06033
CBK91205,SMJ06034
CBK91205,SMJ08194
CBK91206,CBK90509
CBK91206,SMJ06023
CBK91206,SMJ06027
CBK91206,SMJ06032
CBK91206,SMJ06033
CBK91206,SMJ08194
CBK91218,CBK91077
CBK91219,CBK91077
CBK91220,MAJ01156
CBK91220,MAJ02080
CBK91220,MAJ02092
CBK91220,MAJ02900
CBK91220,MAJ02901
CBK91220,MAJ03445
CBK91220,MAJ03519
CBK91220,MAJ10053
CBK91225,MAJ01148
CBK91225,MAJ01149
CBK91225,MAJ01150
CBK91225,MAJ01151
CBK91230,MAJ01152
CBK91230,MAJ01153
CBK91230,MAJ01154
CBK91230,MAJ01155
CBK91236,MAJ01159
CBK91236,MAJ01160
CBK91261,MAJ08975
CBK91261,MAJ08976
CBK91266,MAJ07100
CBK91266,MAJ07104
CBK91266,MAJ07135
CBK91729,CBK90922
CBK91729,MAJ09443
CBK91730,CBK91100
CBK91731,CBK91730
CBK91731,MAJ09444
CBK91732,CBK91733
CBK91732,STM91225
CBK91732,STM91226
CBK91732,STM91227
CBK91733,CBK91737
CBK91733,STM91223
CBK91733,STM91224
CBK91739,CBK91733
CBK91751,STM91258
CBK91751,STM91259
CBK91751,STM91260
CBK91751,STM91262
CBK91761,STM91278
CBK91761,STM91279
CBK91763,CBK91762
CBK91767,CBK91794
