CourseID,SubjectID
C11257,81533
C11257,81534
C11257,81535
C11257,81536
C11260,96080
C11260,96081
C11260,96082
C11260,96083
C11266,42908
C11271,12518
C11271,12535
C11271,15142
C11271,17700
C11271,17771
C11280,23708
C11280,26776
C11280,26777
C11281,25769
C11281,25770
C11281,25772
C11282,24706
C11282,24707
C11282,24710
C11282,24713
C11282,24720
C11282,24729
C11282,24730
C11282,24734
C11282,24736
C11282,24738
C11282,24742
C11282,24749
C11282,24750
C11282,24752
C11282,24757
C11282,24760
C11292,96027
C11292,96028
C11292,96029
C11292,96030
C11305,260776
C11305,260777
C11305,570100
C11306,240710
C11306,240715
C11306,240729
C11306,570101
C11308,37003
C11308,37004
C11308,37005
C11308,37006
C11308,37007
C11308,37008
C11308,37009
C11308,37010
C11308,37011
C11328,90011
C11328,90013
C11328,90017
C11328,90020
C11329,90012
C11329,90013
C11329,90014
C11329,320146
C11330,90010
C11330,90011
C11330,90012
C11330,90013
C11330,90014
C11330,90017
C11334,22747
C11334,23706
C11334,25741
C11334,25742
C11336,14220
C11336,14221
C11336,14222
C11336,14225
C11337,14162
C11337,14223
C11337,14226
C11337,14227
C11338,21953
C11338,22788
C11338,24748
C11338,25720
C11338,26804
C11338,26805
C11338,26807
C11338,26809
C11338,26811
C11338,26812
C11338,26813
C11338,26814
C11338,26816
C11338,26817
C11338,26818
C11338,26820
C11339,320146
C11339,320513
C11339,420104
C11339,570100
C11340,320146
C11340,420107
C11340,420108
C11340,570100
C11341,320557
C11341,320606
C11341,420046
C11341,420047
C11341,420104
C11342,69504
C11342,69505
C11342,69506
C11343,17901
C11343,17902
C11343,17903
C11343,17904
C11344,78605
C11344,78606
C11344,78607
C11345,240700
C11345,240701
C11345,240710
C11345,240715
C11345,240729
C11345,570101
C11352,96832
C11352,96833
C11352,96834
C11352,96835
C11352,96836
C11352,96837
C11354,78246
C11354,78725
C11354,78726
C11355,260800
C11355,260801
C11355,570001
C11355,570002
C11356,17125
C11356,17126
C11356,17128
C11356,17901
C20061,83119
C20061,83621
C20061,83622
C20061,85503
