CourseID,SPKID
C09084,CBK90169
C09084,STM90273
C09084,STM91052
C09085,CBK90585
C09085,STM91052
C09086,CBK92146
C09086,STM91052
C09086,STM91714
C09087,CBK90178
C09087,STM90356
C09087,STM91052
C09088,CBK90781
C09088,STM90651
C09088,STM91052
C09089,CBK92067
C09089,MAJ09477
C09089,STM90691
C09089,STM91104
C09091,CBK92067
C09091,MAJ09479
C09091,STM90691
C09091,STM91104
C09093,CBK92067
C09093,MAJ09478
C09093,STM90691
C09093,STM91104
C09094,CBK92067
C09094,MAJ09481
C09094,STM90691
C09094,STM91104
C09095,CBK92067
C09095,MAJ09480
C09095,STM90691
C09095,STM91104
C09096,CBK92067
C09096,MAJ09476
C09096,STM90691
C09096,STM91104
C09097,CBK92057
C09097,STM91052
C09098,STM90839
C09098,STM91052
C09100,STM91704
C09119,CBK91220
C09119,CBK92127
C09119,STM91172
C09119,STM91173
C09120,CBK91208
C09120,STM91017
C09120,STM91052
C09121,CBK91230
C09121,STM91052
C09121,STM91181
C09123,CBK90905
C09123,CBK92057
C09123,STM90107
C09123,STM90994
C09124,CBK90905
C09124,CBK92057
C09124,STM90107
C09124,STM90993
C09129,STM91632
C09130,STM91642
C09131,CBK92056
C09131,STM91643
C09132,CBK92055
C09132,CBK92058
C09132,STM91638
C09132,STM91639
C09133,CBK90679
C09133,CBK92058
C09133,STM90273
C09134,CBK92058
C09134,CBK92062
C09134,CBK92092
C09134,MAJ09477
C09134,STM91104
C09135,CBK92058
C09135,CBK92062
C09135,CBK92094
C09135,MAJ09479
C09135,STM91104
C09136,CBK92058
C09136,CBK92062
C09136,CBK92093
C09136,MAJ09478
C09136,STM91104
C09137,CBK92058
C09137,CBK92062
C09137,CBK92096
C09137,MAJ09481
C09137,STM91104
C09138,CBK92058
C09138,CBK92062
C09138,CBK92097
C09138,MAJ09482
C09138,STM91104
C09139,CBK92058
C09139,CBK92062
C09139,CBK92095
C09139,MAJ09480
C09139,STM91104
C09140,CBK92058
C09140,CBK92061
C09140,CBK92062
C09140,MAJ09476
C09140,STM91104
C09141,CBK92058
C09141,CBK92218
C09141,STM90373
C09142,CBK92041
C09142,CBK92058
C09142,STM91629
C09143,CBK91878
C09143,CBK92058
C09143,STM91424
C09143,STM91426
C09144,CBK90823
C09144,CBK92058
C09144,STM91203
C09145,CBK91878
C09145,CBK92058
C09145,STM91424
C09145,STM91425
C09146,CBK91878
C09146,CBK92058
C09146,STM91424
C09146,STM91427
C09147,CBK90905
C09147,CBK92058
C09147,STM90107
C09147,STM90994
C09148,CBK90905
C09148,CBK92058
C09148,STM90107
C09148,STM90993
C09149,CBK90232
C09149,CBK91225
C09149,CBK92058
C09149,STM91180
C09150,CBK91909
C09150,CBK92058
C09151,CBK92058
C09151,STM91052
C09152,CBK92058
C09152,STM90691
C09153,CBK91013
C09153,CBK92010
C09153,CBK92058
C09153,STM90928
C09155,CBK90232
C09155,CBK92046
C09155,CBK92058
C09155,STM91631
C09156,CBK90232
C09156,CBK92058
C09156,CBK92144
C09156,STM90680
C09157,CBK91142
C09157,CBK92058
C09157,MAJ10062
C09157,STM91648
C09158,CBK92058
C09158,STM91471
C09159,CBK92058
C09159,CBK92221
C09159,STM90820
C09160,CBK90653
C09160,CBK92058
C09162,CBK90781
C09162,CBK90782
C09162,CBK92058
C09162,STM90651
C09163,CBK90915
C09163,CBK92058
C09163,STM90829
C09164,CBK90911
C09164,CBK92058
C09164,STM90825
C09166,CBK90783
C09166,CBK92058
C09166,CBK92165
C09166,STM90651
C09166,STM91737
C09167,CBK90783
C09167,CBK92058
C09167,CBK92166
C09167,STM90651
C09167,STM91743
C09168,CBK92185
C10004,CBK91801
C10004,STM91342
C10020,CBK90679
C10020,CBK92057
C10020,STM90273
C10026,CBK90679
